experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
23,87,64,53,121,0.3830267786979675,0.905864953994751,16,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,53
23,87,64,54,85,0.4735477566719055,0.9188237190246582,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,54
23,87,64,55,218,0.1057280674576759,0.9262399077415466,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,55
23,87,64,56,54,0.0316519737243652,0.8868998289108276,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,56
23,87,64,57,170,0.0598917715251445,0.9005501866340637,8,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,57
23,87,64,58,32,0.2754924893379211,0.8857324719429016,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,58
23,87,64,59,12,0.1518488228321075,0.9040812849998474,8,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,59
23,87,64,60,9,0.1163628473877906,0.9022732973098756,13,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,60
23,87,64,61,83,0.5080950260162354,0.9028306007385254,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,61
23,87,64,62,157,0.3511168956756592,0.876747190952301,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,62
23,87,64,63,79,0.7036815881729126,0.9287933707237244,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,63
23,87,64,64,140,0.2964291572570801,0.876728892326355,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,64
23,87,64,65,199,0.713711142539978,0.9025318026542664,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,65
23,87,64,66,0,3.756603361715349e-11,0.905655562877655,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,66
23,87,64,67,113,0.7207930684089661,0.9007121324539185,15,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,67
23,87,64,68,223,0.3259778618812561,0.8807966113090515,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,68
23,87,64,69,162,0.0232554282993078,0.872098445892334,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,69
23,87,64,70,59,0.3330691754817962,0.9033394455909728,17,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,70
23,87,64,71,161,0.1911648958921432,0.7710186839103699,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,71
23,87,64,72,175,0.3982021510601043,0.8986496925354004,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,72
23,87,64,73,19,6.942819930078059e-11,0.8651657700538635,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,73
23,87,64,74,216,0.543976902961731,0.8646838068962097,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,74
