variant,variant_label,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,8,6,0.7635262871066874,0.5978720001112462,0.945970416281028
commit_pred_90,Pred 0.90,ACDC,prediction,0.9,10,6,0.6861291429143973,0.47894969650406116,0.8920507341667472
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,0,18,0.620171249093461,0.48712756754588454,0.7539546139442477
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,1,18,1.0,1.0,1.0
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,2,18,0.9269841858905576,0.8143254782824135,1.0419231014461805
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,4,18,0.7824795099548593,0.657865469758739,0.9061860502871987
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,8,18,0.6681744628409759,0.5507229619751399,0.7902706504124172
commit_pred_90,Pred 0.90,BTCV,prediction,0.9,10,18,0.5846707433628122,0.4730597546643264,0.7038320880099407
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,0,4,0.6338642749253881,0.3601962838663029,0.9075322659844732
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,1,4,1.0,1.0,1.0
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,2,4,1.2070522730447633,1.0645110156543314,1.3495935304351954
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,4,4,1.17875695482396,1.1200682602132768,1.2374456494346433
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,8,4,1.157751325572459,1.1263545701298607,1.189148081015057
commit_pred_90,Pred 0.90,HipXRay,prediction,0.9,10,4,1.0424242235087404,0.9011609086004051,1.1836875384170757
commit_pred_90,Pred 0.90,SCR,prediction,0.9,0,20,0.7990596481510451,0.6654498622395185,0.9381690801547323
commit_pred_90,Pred 0.90,SCR,prediction,0.9,1,20,1.0,1.0,1.0
commit_pred_90,Pred 0.90,SCR,prediction,0.9,2,20,1.196175565095048,1.0972653096141547,1.3034775672260077
commit_pred_90,Pred 0.90,SCR,prediction,0.9,4,20,1.1411458432553527,1.0253875924896154,1.2459622547603582
commit_pred_90,Pred 0.90,SCR,prediction,0.9,8,20,1.0906626020922137,0.9925224473086883,1.1871411176975408
commit_pred_90,Pred 0.90,SCR,prediction,0.9,10,20,1.1089869794426424,0.9662153286260281,1.2531130987318213
commit_pred_97,Pred 0.97,ACDC,prediction,0.97,0,6,0.46860431489756116,0.18125977551045613,0.7548617055054079
