variant,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_label_97,SCR,ground_truth,0.97,8,20,0.0979557697015861,0.07920268427769188,0.11542957838545699
commit_label_97,SCR,ground_truth,0.97,10,20,0.0,0.0,0.0
commit_label_97,T1mix,ground_truth,0.97,1,35,1.0,1.0,1.0
commit_label_97,T1mix,ground_truth,0.97,2,35,0.8196283679950943,0.7005151445613554,0.9478223204008661
commit_label_97,T1mix,ground_truth,0.97,4,35,0.4819952027738369,0.3966915354149883,0.5723898299775952
commit_label_97,T1mix,ground_truth,0.97,8,35,0.23115068732989258,0.18207465494808875,0.28206512528002975
commit_label_97,T1mix,ground_truth,0.97,10,35,0.0,0.0,0.0
commit_label_97,WBC,ground_truth,0.97,1,8,1.0,1.0,1.0
commit_label_97,WBC,ground_truth,0.97,2,8,0.5722522940218997,0.42686238288141815,0.6908049049798153
commit_label_97,WBC,ground_truth,0.97,4,8,0.28084017698596797,0.14521806594538897,0.40540587186000165
commit_label_97,WBC,ground_truth,0.97,8,8,0.07283540842663272,0.027446994812063103,0.12708406560708313
commit_label_97,WBC,ground_truth,0.97,10,8,0.0,0.0,0.0
commit_pred_90,ACDC,prediction,0.9,1,6,1.0,1.0,1.0
commit_pred_90,ACDC,prediction,0.9,2,6,0.7118471854712821,0.395407303646695,1.0265157234480562
commit_pred_90,ACDC,prediction,0.9,4,6,0.35866725590130893,0.16804982667001642,0.5719727182522937
commit_pred_90,ACDC,prediction,0.9,8,6,0.14916788517025628,0.06992221458111979,0.24431212224724438
commit_pred_90,ACDC,prediction,0.9,10,6,0.06782436528195021,0.022143135416400547,0.1177472034746621
commit_pred_90,BTCV,prediction,0.9,1,18,1.0,1.0,1.0
commit_pred_90,BTCV,prediction,0.9,2,18,0.6788058271408128,0.5469737955214838,0.8285738616754016
commit_pred_90,BTCV,prediction,0.9,4,18,0.4593958213775844,0.36458121702525553,0.5557438812579946
commit_pred_90,BTCV,prediction,0.9,8,18,0.21586066078240707,0.16817036420546735,0.2714303966724074
commit_pred_90,BTCV,prediction,0.9,10,18,0.07484170977788246,0.05459950977606998,0.0986659106035747
commit_pred_90,BUID,prediction,0.9,1,4,1.0,1.0,1.0
commit_pred_90,BUID,prediction,0.9,2,4,0.8102429696722964,0.8034969663319425,0.8169889730126503
commit_pred_90,BUID,prediction,0.9,4,4,0.3995799760807903,0.38471256764618633,0.41444738451539426
commit_pred_90,BUID,prediction,0.9,8,4,0.16058178688104796,0.061926772569740926,0.259236801192355
commit_pred_90,BUID,prediction,0.9,10,4,0.04620819360559107,0.020262786831075772,0.07215360038010636
commit_pred_90,HipXRay,prediction,0.9,1,4,1.0,1.0,1.0
commit_pred_90,HipXRay,prediction,0.9,2,4,0.7261414818666996,0.5585024476685921,0.893780516064807
commit_pred_90,HipXRay,prediction,0.9,4,4,0.6277373025372798,0.36177081090513213,0.8937037941694274
commit_pred_90,HipXRay,prediction,0.9,8,4,0.5062612741231539,0.1816321579538321,0.8308903902924758
commit_pred_90,HipXRay,prediction,0.9,10,4,0.4731552237313863,0.1244360311662715,0.821874416296501
commit_pred_90,PanDental,prediction,0.9,1,4,1.0,1.0,1.0
commit_pred_90,PanDental,prediction,0.9,2,4,0.9773952624347602,0.6343331238897367,1.3204574009797836
commit_pred_90,PanDental,prediction,0.9,4,4,1.704698032789915,0.21054640988682655,3.1988496556930035
commit_pred_90,PanDental,prediction,0.9,8,4,0.7102142935256197,0.15634752168280938,1.26408106536843
commit_pred_90,PanDental,prediction,0.9,10,4,0.4307034070518348,0.15783029011317729,0.7035765239904923
commit_pred_90,SCD,prediction,0.9,1,4,1.0,1.0,1.0
commit_pred_90,SCD,prediction,0.9,2,4,0.2348124857654413,0.1448593529030536,0.3247775519682963
commit_pred_90,SCD,prediction,0.9,4,4,0.1415521824423456,0.086531848157681,0.18598499013731493
commit_pred_90,SCD,prediction,0.9,8,4,0.065770831220167,0.0407691438896821,0.09077251855065191
