,procedure,ablation,family,policy,n_tasks,n_subsets,mean_start_mean,mean_start_ci_lo,mean_start_ci_hi,best_start_mean,best_start_ci_lo,best_start_ci_hi,worst_start_mean,worst_start_ci_lo,worst_start_ci_hi,gap_mean,gap_ci_lo,gap_ci_hi
94,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,BUID,mse_embedding_alternate_start_max_medsam,4,40,1.2941559999999999,1.1734499999999999,1.4344999999999999,1.01668,0.8899999999999999,1.1600000000000001,1.89726,1.565,2.255,-0.27747599999999994,-0.32102499999999995,-0.2359875
95,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,BUID,mse_embedding_alternate_start_max_multiverseg,4,40,1.2291439999999998,1.0954875,1.3760624999999997,0.91723,0.8248749999999998,1.0150000000000001,1.759485,1.444875,2.2099999999999995,-0.31191399999999997,-0.37301249999999997,-0.25749999999999995
96,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,BUID,mse_embedding_alternate_start_max_vit,4,40,1.2513935,1.1374875,1.3785249999999998,0.986945,0.8698749999999998,1.125,1.6141050000000001,1.444875,1.825125,-0.2644485,-0.30751249999999997,-0.226
97,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,BUID,random,4,40,1.2441133500000001,1.138425,1.361205,0.82176,0.725,0.9299999999999999,2.1668649999999996,1.834875,2.5549999999999997,-0.42235335,-0.44245249999999997,-0.40044625
98,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,mse_embedding_alternate_start_max_clip,8,80,2.79208575,2.6179812499999997,2.943275,2.3545525,2.1498749999999998,2.5375624999999995,3.1975649999999995,3.0525,3.3300625,-0.43753325000000004,-0.4995062500000001,-0.3819937500000001
99,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,mse_embedding_alternate_start_max_dinov2,8,80,2.7971414999999995,2.645,2.94870625,2.3755525000000004,2.1874375,2.5525625,3.230875,3.125,3.3425625,-0.42158900000000005,-0.4720125,-0.36969375000000004
100,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,mse_embedding_alternate_start_max_medsam,8,80,2.784694,2.6307500000000004,2.93576875,2.358945,2.1698749999999998,2.5324999999999998,3.2585349999999997,3.1475,3.3674999999999997,-0.42574900000000004,-0.47803124999999996,-0.37999375
101,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,mse_embedding_alternate_start_max_multiverseg,8,80,2.77489675,2.6149687499999996,2.9235062500000004,2.4023825,2.2274375,2.5800625,3.22402,3.0975,3.3249999999999997,-0.37251425,-0.4155187500000001,-0.32521874999999995
102,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,mse_embedding_alternate_start_max_vit,8,80,2.807882,2.6282312499999994,2.9772875,2.3366299999999995,2.1098125,2.54,3.2644274999999996,3.0924375,3.4275,-0.47125200000000006,-0.5385062500000001,-0.41525000000000006
103,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,WBC,random,8,80,2.8054715999999997,2.64358,2.9582693749999995,2.1217175,1.89,2.3300625,3.51927,3.4349999999999996,3.6075,-0.6837541,-0.7614125000000002,-0.618131875
104,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,mse_embedding_alternate_start_min_clip,6,60,3.4197830000000002,3.3236583333333334,3.5105208333333335,3.1620783333333335,3.0432499999999996,3.2667083333333338,3.660105,3.583291666666666,3.733333333333334,-0.2577046666666667,-0.29153749999999995,-0.2236541666666667
105,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,mse_embedding_alternate_start_min_dinov2,6,60,3.444526166666667,3.3334874999999995,3.544345833333333,3.2142600000000003,3.088333333333333,3.325041666666666,3.6661433333333333,3.573291666666666,3.7583333333333333,-0.2302661666666667,-0.26950416666666677,-0.19883333333333333
106,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,mse_embedding_alternate_start_min_medsam,6,60,3.4112908333333336,3.3139958333333333,3.499166666666667,3.153083333333333,3.051666666666667,3.2449999999999997,3.668073333333333,3.578333333333333,3.756708333333334,-0.2582075,-0.2825125,-0.23414583333333333
107,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,mse_embedding_alternate_start_min_multiverseg,6,60,3.3975666666666666,3.300600000000001,3.4853416666666663,3.1469033333333334,3.0316666666666663,3.2533333333333334,3.650911666666667,3.5582916666666664,3.7433333333333336,-0.25066333333333335,-0.2828333333333333,-0.22062083333333335
108,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,mse_embedding_alternate_start_min_vit,6,60,3.4348650000000003,3.338983333333333,3.5248375000000003,3.189048333333333,3.084958333333333,3.283375,3.687565,3.583333333333334,3.788416666666667,-0.24581666666666666,-0.27633749999999996,-0.21315833333333337
109,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,ACDC,random,6,60,3.4257891,3.32842375,3.5127224999999997,3.0338933333333333,2.9299999999999997,3.1300000000000003,3.8295833333333333,3.736666666666667,3.918375,-0.39189576666666665,-0.41981875,-0.361745
110,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,mse_embedding_alternate_start_min_clip,20,200,2.38945535,2.3499487500000007,2.4382575000000006,2.0167615,1.9770000000000003,2.0625125000000004,2.7887855,2.7390000000000003,2.8490625,-0.37269385,-0.39285375,-0.35329374999999996
111,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,mse_embedding_alternate_start_min_dinov2,20,200,2.3832219,2.35023875,2.425605,2.003755,1.9545000000000001,2.0569999999999995,2.804191,2.7715000000000005,2.84,-0.37946689999999994,-0.40080125,-0.35803874999999996
112,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,mse_embedding_alternate_start_min_medsam,20,200,2.3917267,2.3489924999999996,2.441085,2.0236585,1.9780000000000002,2.0735125,2.804619,2.743,2.868,-0.36806820000000007,-0.38505125000000007,-0.34732625
113,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,mse_embedding_alternate_start_min_multiverseg,20,200,2.38616705,2.3511237499999997,2.4309512499999997,2.0241219999999998,1.982,2.0730124999999995,2.7671364999999994,2.7309874999999995,2.8105125,-0.3620450499999999,-0.37565374999999995,-0.3479487499999999
114,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,mse_embedding_alternate_start_min_vit,20,200,2.3817209000000004,2.3406450000000008,2.43446375,2.0319425,1.9845,2.0850124999999995,2.7606745,2.705,2.8255125,-0.3497784,-0.37450249999999996,-0.32839375000000004
115,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BTCV,random,20,200,2.3823947100000002,2.3467512500000005,2.425591,1.816682,1.778975,1.859025,3.0360085,2.9884875,3.0930125,-0.56571271,-0.5848186249999999,-0.54863925
116,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,mse_embedding_alternate_start_min_clip,4,40,1.224321,1.1294875,1.328025,0.916855,0.84,1.0050000000000001,1.65625,1.4400000000000002,1.9250000000000003,-0.307466,-0.3585125,-0.25598750000000003
117,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,mse_embedding_alternate_start_min_dinov2,4,40,1.257512,1.1504750000000001,1.3900375,0.9726199999999999,0.8600000000000001,1.1,1.6861,1.44,2.04525,-0.28489200000000003,-0.31850000000000006,-0.24997500000000003
118,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,mse_embedding_alternate_start_min_medsam,4,40,1.2831035,1.1619875,1.4180249999999999,0.976855,0.8750000000000001,1.095,1.8894300000000002,1.5948749999999998,2.2551249999999996,-0.3062484999999999,-0.36451249999999996,-0.2584874999999999
119,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,mse_embedding_alternate_start_min_multiverseg,4,40,1.2202415,1.1029875,1.351,0.901365,0.8,1.01,1.588685,1.435,1.7650000000000001,-0.31887649999999995,-0.35451250000000006,-0.284
120,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,mse_embedding_alternate_start_min_vit,4,40,1.2663125,1.1424875,1.4030375,0.9704999999999999,0.86,1.0901250000000002,1.6799450000000002,1.4600000000000004,1.95,-0.2958125,-0.342,-0.24699999999999997
121,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,BUID,random,4,40,1.2441133500000001,1.138425,1.361205,0.82176,0.725,0.9299999999999999,2.1668649999999996,1.834875,2.5549999999999997,-0.42235335,-0.44245249999999997,-0.40044625
122,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,mse_embedding_alternate_start_min_clip,8,80,2.8021270000000005,2.6294875,2.94878125,2.3635675000000003,2.1673124999999995,2.5425624999999994,3.2519924999999996,3.1175000000000006,3.3600000000000003,-0.4385595,-0.49901249999999997,-0.38074375000000016
123,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,mse_embedding_alternate_start_min_dinov2,8,80,2.7945282500000004,2.6449125,2.9545374999999994,2.35877,2.1750000000000003,2.5425,3.2351724999999996,3.1325000000000003,3.35,-0.43575824999999996,-0.5044999999999998,-0.37525
124,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,mse_embedding_alternate_start_min_medsam,8,80,2.7828465000000002,2.62796875,2.93910625,2.3918850000000003,2.2074374999999997,2.5726249999999995,3.2328725,3.1199375,3.3475625,-0.3909615000000001,-0.43801875000000007,-0.3525000000000001
125,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_min,WBC,mse_embedding_alternate_start_min_multiverseg,8,80,2.79240675,2.6425,2.9340312500000003,2.3573675000000005,2.1699375,2.5200625,3.232025,3.1,3.3449999999999998,-0.43503925,-0.48701250000000007,-0.38975000000000004
